epoch,loss,val_loss,val_nse
0,0.021249777484662467,0.003617804461207604,0.6474869
1,0.006051970728127877,0.002526589274031507,0.74803704
2,0.005577453436534398,0.0029527106988312237,0.6988064
3,0.0048660160783428425,0.009435087206999442,0.058629394
4,0.004972328262960129,0.0024065229077035945,0.77378166
5,0.004529925949144654,0.002427707657796632,0.77489775
6,0.004631764943166295,0.003869056325771346,0.563925
7,0.004958088712755409,0.0031187757237656866,0.7182033
8,0.004454174969152252,0.00473604311071754,0.5433756
9,0.004890951059372505,0.005250617232805406,0.48533392
10,0.004392011810332628,0.0026304600246743683,0.75547296
11,0.004270991998463414,0.00404096788727603,0.62921
12,0.004267315810444061,0.0039017018762024236,0.62357354
13,0.004258333935640843,0.0032932405986631397,0.68874264
14,0.004090848415749284,0.002746810429979472,0.7462945
15,0.003994784257431492,0.006512154096366002,0.35585994
16,0.0038264176342636346,0.0026825963785835055,0.755404
17,0.0038139737815959607,0.004643632772967976,0.5484299
18,0.0035699182811829194,0.005035440543318092,0.52050745
19,0.003729600001342322,0.003571405484014095,0.67416
20,0.0035620439959485536,0.002401389698394162,0.7847029
21,0.003497228845272486,0.002498490985812275,0.7662788
22,0.0035169265497044275,0.002563420654844188,0.7507989
23,0.0034340619223146903,0.005268211441957379,0.47744423
24,0.0034618993746911787,0.0024659453381044682,0.7722709
