epoch,learning_rate,loss,mae,nse_metric,rmse,val_loss,val_mae,val_nse_metric,val_rmse
0,0.0010000000474974513,0.022212134674191475,0.05981440469622612,-6503.76513671875,0.09966619312763214,0.015413779765367508,0.048166148364543915,-321.3016052246094,0.09048161655664444
1,0.0010000000474974513,0.013556983321905136,0.05054819583892822,-3199.34765625,0.09037815034389496,0.01151879783719778,0.04594465345144272,-358.5712890625,0.0861423909664154
2,0.0010000000474974513,0.011165719479322433,0.04848193749785423,-2930.492431640625,0.08780930936336517,0.009573974646627903,0.043311141431331635,-319.2814636230469,0.08192117512226105
3,0.0010000000474974513,0.00998109020292759,0.047559697180986404,-2959.948974609375,0.08651787787675858,0.009019710123538971,0.04323331266641617,-244.14395141601562,0.08311820030212402
4,0.0010000000474974513,0.009376819245517254,0.047423720359802246,-2698.800048828125,0.08661776036024094,0.008312791585922241,0.042732398957014084,-283.22735595703125,0.08193901926279068
5,0.0010000000474974513,0.008845645003020763,0.04735301434993744,-2889.9296875,0.08605552464723587,0.00793196726590395,0.04373794421553612,-401.95294189453125,0.08188623934984207
6,0.0010000000474974513,0.00843463372439146,0.0467047281563282,-2752.499755859375,0.08543982356786728,0.007351477164775133,0.04187579080462456,-302.5384826660156,0.07981077581644058
7,0.0010000000474974513,0.008081925101578236,0.04710005223751068,-2731.510986328125,0.08450911939144135,0.007213764823973179,0.042493969202041626,-371.5260009765625,0.08000659942626953
8,0.0010000000474974513,0.007863284088671207,0.04615571349859238,-2695.941162109375,0.0841374397277832,0.006537558976560831,0.04047422483563423,-328.912841796875,0.07645157724618912
9,0.0010000000474974513,0.007789079565554857,0.046660494059324265,-2771.62744140625,0.08425228297710419,0.006771211978048086,0.04073295369744301,-237.87384033203125,0.07845056802034378
10,0.0010000000474974513,0.008011750876903534,0.047681912779808044,-2898.216552734375,0.0859852060675621,0.006194200832396746,0.039986420422792435,-310.0968933105469,0.07511396706104279
11,0.0010000000474974513,0.007680845446884632,0.04676133021712303,-3027.89697265625,0.08425328135490417,0.006001936737447977,0.03927317261695862,-281.3600769042969,0.07396595925092697
12,0.0010000000474974513,0.007520744111388922,0.04582977294921875,-2543.60009765625,0.08351323008537292,0.006109632086008787,0.039180267602205276,-238.52603149414062,0.07483882457017899
13,0.0010000000474974513,0.007638123817741871,0.0465749055147171,-2917.3505859375,0.08429425209760666,0.006171617656946182,0.039353035390377045,-259.7305603027344,0.0753125250339508
14,0.0010000000474974513,0.0075938040390610695,0.04643965885043144,-3108.36181640625,0.08419300615787506,0.005642362404614687,0.03792440518736839,-261.3876037597656,0.07184343785047531
15,0.0010000000474974513,0.007477457169443369,0.046256497502326965,-2770.002685546875,0.0835520327091217,0.005721454508602619,0.03777391463518143,-232.8806610107422,0.07240616530179977
16,0.0010000000474974513,0.007459403946995735,0.0461321659386158,-2846.414306640625,0.08344614505767822,0.005655991844832897,0.03781247138977051,-243.11474609375,0.07197047770023346
17,0.0010000000474974513,0.007394013460725546,0.04604218527674675,-2894.95849609375,0.08313354104757309,0.005587080959230661,0.03784739598631859,-269.2268981933594,0.07159464061260223
18,0.0010000000474974513,0.007329555694013834,0.045825377106666565,-2862.074951171875,0.08291595429182053,0.005378518719226122,0.03719601407647133,-263.78546142578125,0.07036029547452927
19,0.0010000000474974513,0.0073871370404958725,0.046307746320962906,-2773.370361328125,0.08320201188325882,0.005327572580426931,0.037230849266052246,-261.3318176269531,0.06979502737522125
20,0.0010000000474974513,0.007376151625066996,0.046424366533756256,-3129.14990234375,0.08312337845563889,0.005455098580569029,0.03852915018796921,-464.6556701660156,0.07079381495714188
21,0.0010000000474974513,0.007442249450832605,0.04633387550711632,-2962.99169921875,0.0836120992898941,0.005515678785741329,0.03823958709836006,-343.73797607421875,0.0713769942522049
22,0.0010000000474974513,0.007352777291089296,0.04631698131561279,-2835.697265625,0.08307672291994095,0.0054256306029856205,0.0377856120467186,-272.7752380371094,0.07061928510665894
23,0.0010000000474974513,0.007384021766483784,0.045773494988679886,-2934.053466796875,0.08327709138393402,0.00521218404173851,0.03716814145445824,-300.054931640625,0.06916757673025131
24,0.0010000000474974513,0.007349487394094467,0.045725055038928986,-2829.307861328125,0.08315350115299225,0.005261804908514023,0.0369720421731472,-281.76519775390625,0.06961216777563095
25,0.0010000000474974513,0.007473863195627928,0.04668768495321274,-3105.033935546875,0.08370005339384079,0.005018432624638081,0.035941120237112045,-296.7938537597656,0.06771989166736603
26,0.0010000000474974513,0.007251901552081108,0.0455748476088047,-2759.421142578125,0.08254653960466385,0.005085920915007591,0.03612182289361954,-273.00799560546875,0.06835126131772995
27,0.0010000000474974513,0.007233870681375265,0.04534217715263367,-2732.007080078125,0.08247922360897064,0.005266246851533651,0.03625672310590744,-251.39016723632812,0.06959458440542221
28,0.0010000000474974513,0.00722233671694994,0.04545896127820015,-2809.12255859375,0.08232968300580978,0.005248177796602249,0.036922939121723175,-266.90081787109375,0.06936163455247879
