epoch,loss,mae,nse_metric,rmse,val_loss,val_mae,val_nse_metric,val_rmse
0,0.20039266347885132,0.3354375660419464,-552496.1875,0.43563252687454224,0.016411108896136284,0.06357524544000626,-12847.0107421875,0.07670813798904419
1,0.058601755648851395,0.16779296100139618,-138739.40625,0.21963219344615936,0.01374131627380848,0.045017994940280914,-1635.8701171875,0.05975400656461716
2,0.029720379039645195,0.10716588795185089,-50005.11328125,0.1405748724937439,0.013530788011848927,0.041049979627132416,-1593.1912841796875,0.0615730807185173
3,0.02188309282064438,0.0826285183429718,-29303.369140625,0.11112087965011597,0.015093882568180561,0.04922572150826454,-1450.7587890625,0.07590809464454651
4,0.01800905168056488,0.06771427392959595,-16460.48046875,0.0941905677318573,0.014980575069785118,0.05324849858880043,-1896.6854248046875,0.07774478942155838
5,0.015465655364096165,0.056504614651203156,-9037.353515625,0.08206236362457275,0.01405328232795,0.049566999077796936,-1418.0107421875,0.07439586520195007
6,0.013868436217308044,0.050549134612083435,-6483.79931640625,0.07458369433879852,0.012488371692597866,0.043418578803539276,-1031.923583984375,0.066363625228405
7,0.013001298531889915,0.046133626252412796,-4009.410400390625,0.0716777890920639,0.012383999302983284,0.04608668014407158,-1136.68896484375,0.06890881806612015
8,0.012144486419856548,0.04358649253845215,-3202.76025390625,0.06878533959388733,0.011882518418133259,0.046485744416713715,-1253.5341796875,0.06854516267776489
9,0.011512021534144878,0.04195598512887955,-2565.27734375,0.06741902232170105,0.011755045503377914,0.049037422984838486,-1587.8931884765625,0.07076539099216461
10,0.010923258028924465,0.040426816791296005,-2235.404052734375,0.06623998284339905,0.011209733784198761,0.048373378813266754,-1425.5009765625,0.06986011564731598
11,0.01025789137929678,0.03874592110514641,-2057.225341796875,0.06421543657779694,0.010707275941967964,0.04729310795664787,-1301.144775390625,0.06903482228517532
12,0.00975146982818842,0.03788231685757637,-1893.1273193359375,0.06318191438913345,0.010335749015212059,0.04809856414794922,-1354.9013671875,0.0689493790268898
13,0.009325924329459667,0.03740554675459862,-1842.3564453125,0.06259483098983765,0.009446422569453716,0.04402835667133331,-1046.2318115234375,0.06487628072500229
14,0.008927632123231888,0.03711550682783127,-1846.7265625,0.062112268060445786,0.00923888012766838,0.04489203169941902,-1116.00341796875,0.0658479779958725
15,0.008549854159355164,0.03639683127403259,-1921.5760498046875,0.061706770211458206,0.008738266304135323,0.04346382990479469,-1024.62353515625,0.06446146219968796
16,0.008163274265825748,0.036197513341903687,-1843.53564453125,0.06111093610525131,0.008420746773481369,0.04354416951537132,-1045.6080322265625,0.0643773227930069
17,0.007890844717621803,0.03663279861211777,-1956.1622314453125,0.061276499181985855,0.007762553635984659,0.04154689237475395,-957.6588745117188,0.06138325855135918
18,0.007567015942186117,0.03607938066124916,-1866.61767578125,0.06098172068595886,0.007450639270246029,0.04226268082857132,-1066.1016845703125,0.061166808009147644
19,0.00731482170522213,0.03653569892048836,-2057.4365234375,0.06123122200369835,0.006938534323126078,0.0386761873960495,-723.3358764648438,0.05924330651760101
20,0.00702145230025053,0.03613340109586716,-1916.815185546875,0.06101968511939049,0.006457815878093243,0.03885028511285782,-822.884765625,0.057343289256095886
21,0.006751636508852243,0.03650736063718796,-2119.091064453125,0.060889795422554016,0.005866910796612501,0.03658844158053398,-752.7692260742188,0.054292865097522736
22,0.006489200051873922,0.035934146493673325,-1919.176513671875,0.06081186234951019,0.005441455170512199,0.032205257564783096,-428.49993896484375,0.05258716642856598
23,0.006290815770626068,0.03615845367312431,-2052.5849609375,0.0611163005232811,0.005275394767522812,0.034646421670913696,-580.7448120117188,0.05321997404098511
24,0.006041381042450666,0.03650111332535744,-2196.253173828125,0.06090312451124191,0.0048077465035021305,0.034154944121837616,-635.1666259765625,0.050792571157217026
25,0.005750386044383049,0.03607999160885811,-2105.78076171875,0.06027539074420929,0.00462848087772727,0.03391430899500847,-596.080322265625,0.05109946429729462
26,0.005542198661714792,0.035651806741952896,-2104.66357421875,0.06019722297787666,0.004033386707305908,0.030788403004407883,-492.5930480957031,0.04702240973711014
27,0.005289357155561447,0.035769540816545486,-2073.417724609375,0.05963433161377907,0.004255275707691908,0.0340789295732975,-578.5803833007812,0.05100281164050102
28,0.005167315248399973,0.03548228368163109,-2101.56494140625,0.060038428753614426,0.003977102227509022,0.03283517435193062,-522.8829345703125,0.04997692257165909
29,0.004972874186933041,0.0351562574505806,-2040.814453125,0.059757865965366364,0.0036437269300222397,0.03126584738492966,-459.189697265625,0.04805932566523552
30,0.004812148399651051,0.03514392301440239,-2034.9105224609375,0.059485357254743576,0.0034069688990712166,0.030359400436282158,-430.5367736816406,0.04686393216252327
